,Year,Price IQR,0.25,0.75
0,1995,0.0,50.0,50.0
1,1996,20.005000000000003,29.9925,49.9975
2,1997,70.0,35.0,105.0
3,1998,7.494999999999997,9.995000000000001,17.49
4,1999,15.497500000000002,17.4925,32.99
5,2000,8.759999999999998,15.98,24.74
6,2001,15.000000000000004,24.99,39.99
7,2002,10.000000000000004,29.99,39.99
8,2003,17.009999999999998,35.99,53.0
9,2004,17.5075,26.2425,43.75
10,2005,9.979999999999997,41.495000000000005,51.475
11,2006,8.75,51.24,59.99
12,2007,12.519999999999996,57.47,69.99
13,2008,15.0,74.99,89.99
14,2009,74.9925,92.4975,167.49
15,2010,10.0,149.99,159.99
16,2011,75.00000000000001,104.99,179.99
17,2012,30.0,194.99,224.99
18,2013,43.7525,162.49,206.2425
19,2014,31.25,165.4975,196.7475
20,2015,50.99000000000001,199.0,249.99
21,2016,64.0,145.99,209.99
22,2017,80.25,149.74,229.99
23,2018,82.0,154.99,236.99
24,2019,106.245,191.7475,297.9925
25,2020,47.72749999999999,219.2725,267.0
